2022-03-03 15:19:44,360 - movie_logger - INFO - 가상브러우저 실행...!
2022-03-03 15:19:44,972 - movie_logger - INFO - 네이버 영화 랭킹 4페이지 이동...!
2022-03-03 15:19:45,006 - movie_logger - INFO - 50-집으로 가는 길영화 제목 클릭...!
2022-03-03 15:19:46,500 - movie_logger - INFO - 영화 평점 클릭...!
2022-03-03 15:19:46,538 - movie_logger - INFO - 영화 제목 클릭...! 
2022-03-03 15:19:46,568 - movie_logger - INFO - iframe 전환
2022-03-03 15:19:46,623 - movie_logger - INFO - 1,
2022-03-03 15:19:46,677 - movie_logger - INFO - 2,
2022-03-03 15:19:46,729 - movie_logger - INFO - 3,
2022-03-03 15:19:46,785 - movie_logger - INFO - 4,
2022-03-03 15:19:46,837 - movie_logger - INFO - 5,
2022-03-03 15:19:46,902 - movie_logger - INFO - 6,
2022-03-03 15:19:46,961 - movie_logger - INFO - 7,
2022-03-03 15:19:47,012 - movie_logger - INFO - 8,
2022-03-03 15:19:47,069 - movie_logger - INFO - 9,
2022-03-03 15:19:47,163 - movie_logger - INFO - 10,
2022-03-03 15:19:47,354 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:19:47,425 - movie_logger - INFO - 11,
2022-03-03 15:19:47,472 - movie_logger - INFO - 12,
2022-03-03 15:19:47,519 - movie_logger - INFO - 13,
2022-03-03 15:19:47,560 - movie_logger - INFO - 14,
2022-03-03 15:19:47,606 - movie_logger - INFO - 15,
2022-03-03 15:19:47,658 - movie_logger - INFO - 16,
2022-03-03 15:19:47,707 - movie_logger - INFO - 17,
2022-03-03 15:19:47,755 - movie_logger - INFO - 18,
2022-03-03 15:19:47,802 - movie_logger - INFO - 19,
2022-03-03 15:19:47,854 - movie_logger - INFO - 20,
2022-03-03 15:19:48,049 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:19:48,131 - movie_logger - INFO - 21,
2022-03-03 15:19:48,170 - movie_logger - INFO - 22,
2022-03-03 15:19:48,210 - movie_logger - INFO - 23,
2022-03-03 15:19:48,249 - movie_logger - INFO - 24,
2022-03-03 15:19:48,388 - movie_logger - INFO - 25,
2022-03-03 15:19:48,441 - movie_logger - INFO - 26,
2022-03-03 15:19:48,491 - movie_logger - INFO - 27,
2022-03-03 15:19:48,538 - movie_logger - INFO - 28,
2022-03-03 15:19:48,586 - movie_logger - INFO - 29,
2022-03-03 15:19:48,641 - movie_logger - INFO - 30,
2022-03-03 15:19:48,814 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:19:48,863 - movie_logger - INFO - 31,
2022-03-03 15:19:48,918 - movie_logger - INFO - 32,
2022-03-03 15:19:48,960 - movie_logger - INFO - 33,
2022-03-03 15:19:49,000 - movie_logger - INFO - 34,
2022-03-03 15:19:49,039 - movie_logger - INFO - 35,
2022-03-03 15:19:49,152 - movie_logger - INFO - 36,
2022-03-03 15:19:49,217 - movie_logger - INFO - 37,
2022-03-03 15:19:49,258 - movie_logger - INFO - 38,
2022-03-03 15:19:49,308 - movie_logger - INFO - 39,
2022-03-03 15:19:49,364 - movie_logger - INFO - 40,
2022-03-03 15:19:49,546 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:19:49,610 - movie_logger - INFO - 41,
2022-03-03 15:19:49,664 - movie_logger - INFO - 42,
2022-03-03 15:19:49,717 - movie_logger - INFO - 43,
2022-03-03 15:19:49,775 - movie_logger - INFO - 44,
2022-03-03 15:19:49,851 - movie_logger - INFO - 45,
2022-03-03 15:19:49,902 - movie_logger - INFO - 46,
2022-03-03 15:19:49,953 - movie_logger - INFO - 47,
2022-03-03 15:19:50,000 - movie_logger - INFO - 48,
2022-03-03 15:19:50,050 - movie_logger - INFO - 49,
2022-03-03 15:19:50,115 - movie_logger - INFO - 50,
2022-03-03 15:19:50,301 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:19:50,355 - movie_logger - INFO - 51,
2022-03-03 15:19:50,403 - movie_logger - INFO - 52,
2022-03-03 15:19:50,494 - movie_logger - INFO - 53,
2022-03-03 15:19:50,765 - movie_logger - INFO - 54,
2022-03-03 15:19:50,833 - movie_logger - INFO - 55,
2022-03-03 15:19:50,892 - movie_logger - INFO - 56,
2022-03-03 15:19:50,938 - movie_logger - INFO - 57,
2022-03-03 15:19:50,993 - movie_logger - INFO - 58,
2022-03-03 15:19:51,047 - movie_logger - INFO - 59,
2022-03-03 15:19:51,246 - movie_logger - INFO - 60,
2022-03-03 15:19:51,491 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:19:51,551 - movie_logger - INFO - 61,
2022-03-03 15:19:51,597 - movie_logger - INFO - 62,
2022-03-03 15:19:51,642 - movie_logger - INFO - 63,
2022-03-03 15:19:51,691 - movie_logger - INFO - 64,
2022-03-03 15:19:51,746 - movie_logger - INFO - 65,
2022-03-03 15:19:51,798 - movie_logger - INFO - 66,
2022-03-03 15:19:51,851 - movie_logger - INFO - 67,
2022-03-03 15:19:51,902 - movie_logger - INFO - 68,
2022-03-03 15:19:51,954 - movie_logger - INFO - 69,
2022-03-03 15:19:52,002 - movie_logger - INFO - 70,
2022-03-03 15:19:52,215 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:19:52,321 - movie_logger - INFO - 71,
2022-03-03 15:19:52,371 - movie_logger - INFO - 72,
2022-03-03 15:19:52,425 - movie_logger - INFO - 73,
2022-03-03 15:19:52,475 - movie_logger - INFO - 74,
2022-03-03 15:19:52,525 - movie_logger - INFO - 75,
2022-03-03 15:19:52,578 - movie_logger - INFO - 76,
2022-03-03 15:19:52,640 - movie_logger - INFO - 77,
2022-03-03 15:19:52,694 - movie_logger - INFO - 78,
2022-03-03 15:19:52,762 - movie_logger - INFO - 79,
2022-03-03 15:19:52,820 - movie_logger - INFO - 80,
2022-03-03 15:19:53,023 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:19:53,157 - movie_logger - INFO - 81,
2022-03-03 15:19:53,217 - movie_logger - INFO - 82,
2022-03-03 15:19:53,260 - movie_logger - INFO - 83,
2022-03-03 15:19:53,301 - movie_logger - INFO - 84,
2022-03-03 15:19:53,345 - movie_logger - INFO - 85,
2022-03-03 15:19:53,392 - movie_logger - INFO - 86,
2022-03-03 15:19:53,435 - movie_logger - INFO - 87,
2022-03-03 15:19:53,476 - movie_logger - INFO - 88,
2022-03-03 15:19:53,516 - movie_logger - INFO - 89,
2022-03-03 15:19:53,562 - movie_logger - INFO - 90,
2022-03-03 15:19:53,747 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:19:53,844 - movie_logger - INFO - 91,
2022-03-03 15:19:53,884 - movie_logger - INFO - 92,
2022-03-03 15:19:53,923 - movie_logger - INFO - 93,
2022-03-03 15:19:53,963 - movie_logger - INFO - 94,
2022-03-03 15:19:54,015 - movie_logger - INFO - 95,
2022-03-03 15:19:54,151 - movie_logger - INFO - 96,
2022-03-03 15:19:54,224 - movie_logger - INFO - 97,
2022-03-03 15:19:54,265 - movie_logger - INFO - 98,
2022-03-03 15:19:54,303 - movie_logger - INFO - 99,
2022-03-03 15:19:54,345 - movie_logger - INFO - 100,
2022-03-03 15:19:54,534 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:19:54,623 - movie_logger - INFO - 101,
2022-03-03 15:19:54,662 - movie_logger - INFO - 102,
2022-03-03 15:19:54,704 - movie_logger - INFO - 103,
2022-03-03 15:19:54,746 - movie_logger - INFO - 104,
2022-03-03 15:19:54,788 - movie_logger - INFO - 105,
2022-03-03 15:19:54,828 - movie_logger - INFO - 106,
2022-03-03 15:19:54,876 - movie_logger - INFO - 107,
2022-03-03 15:19:54,916 - movie_logger - INFO - 108,
2022-03-03 15:19:54,956 - movie_logger - INFO - 109,
2022-03-03 15:19:54,996 - movie_logger - INFO - 110,
2022-03-03 15:19:55,180 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:19:55,298 - movie_logger - INFO - 111,
2022-03-03 15:19:55,340 - movie_logger - INFO - 112,
2022-03-03 15:19:55,386 - movie_logger - INFO - 113,
2022-03-03 15:19:55,427 - movie_logger - INFO - 114,
2022-03-03 15:19:55,468 - movie_logger - INFO - 115,
2022-03-03 15:19:55,507 - movie_logger - INFO - 116,
2022-03-03 15:19:55,554 - movie_logger - INFO - 117,
2022-03-03 15:19:55,594 - movie_logger - INFO - 118,
2022-03-03 15:19:55,635 - movie_logger - INFO - 119,
2022-03-03 15:19:55,677 - movie_logger - INFO - 120,
2022-03-03 15:19:55,860 - movie_logger - INFO - 다음페이지 클릭!
2022-03-03 15:19:55,932 - movie_logger - INFO - 121,
2022-03-03 15:19:55,973 - movie_logger - INFO - 122,
2022-03-03 15:19:56,013 - movie_logger - INFO - 123,
2022-03-03 15:19:56,053 - movie_logger - INFO - 124,
2022-03-03 15:19:56,093 - movie_logger - INFO - 125,
2022-03-03 15:19:56,133 - movie_logger - INFO - 126,
2022-03-03 15:19:56,180 - movie_logger - INFO - 127,
2022-03-03 15:19:56,234 - movie_logger - INFO - 128,
2022-03-03 15:19:56,282 - movie_logger - INFO - 129,
2022-03-03 15:19:56,322 - movie_logger - INFO - 130,
2022-03-03 15:19:56,499 - movie_logger - INFO - 다음페이지 클릭!
