2022-03-07 17:03:53,405 - movie_logger - INFO - 가상브러우저 실행...!
2022-03-07 17:03:53,947 - movie_logger - INFO - 네이버 영화 랭킹 4페이지 이동...!
2022-03-07 17:03:53,985 - movie_logger - INFO - 50-집으로 가는 길영화 제목 클릭...!
2022-03-07 17:03:55,510 - movie_logger - INFO - 영화 평점 클릭...!
2022-03-07 17:03:55,552 - movie_logger - INFO - 영화 제목 클릭...! 
2022-03-07 17:03:55,578 - movie_logger - INFO - iframe 전환
2022-03-07 17:05:37,003 - movie_logger - INFO - 가상브러우저 실행...!
2022-03-07 17:05:37,567 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...!
2022-03-07 17:05:37,603 - movie_logger - INFO - 1-클라우스영화 제목 클릭...!
2022-03-07 17:05:39,025 - movie_logger - INFO - 영화 평점 클릭...!
2022-03-07 17:05:39,061 - movie_logger - INFO - 영화 제목 클릭...! 
2022-03-07 17:05:39,090 - movie_logger - INFO - iframe 전환
2022-03-07 17:08:43,349 - movie_logger - INFO - 가상브러우저 실행...!
2022-03-07 17:08:43,887 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...!
2022-03-07 17:08:43,948 - movie_logger - INFO - 1-클라우스영화 제목 클릭...!
2022-03-07 17:08:45,343 - movie_logger - INFO - 영화 평점 클릭...!
2022-03-07 17:08:45,390 - movie_logger - INFO - 영화 제목 클릭...! 
2022-03-07 17:08:45,420 - movie_logger - INFO - iframe 전환
2022-03-07 17:12:51,020 - movie_logger - INFO - 가상브러우저 실행...!
2022-03-07 17:12:51,631 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...!
2022-03-07 17:12:51,670 - movie_logger - INFO - 1-클라우스영화 제목 클릭...!
2022-03-07 17:12:53,059 - movie_logger - INFO - 영화 평점 클릭...!
2022-03-07 17:12:53,096 - movie_logger - INFO - 영화 제목 클릭...! 
2022-03-07 17:12:53,127 - movie_logger - INFO - iframe 전환
2022-03-07 17:23:40,023 - movie_logger - INFO - 가상브러우저 실행...!
2022-03-07 17:23:40,574 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...!
2022-03-07 17:23:40,608 - movie_logger - INFO - 1-클라우스영화 제목 클릭...!
2022-03-07 17:23:41,920 - movie_logger - INFO - 영화 평점 클릭...!
2022-03-07 17:23:41,959 - movie_logger - INFO - 영화 제목 클릭...! 
2022-03-07 17:23:41,988 - movie_logger - INFO - iframe 전환
2022-03-07 17:23:42,066 - movie_logger - INFO - 1,
2022-03-07 17:23:42,119 - movie_logger - INFO - 2,
2022-03-07 17:23:42,163 - movie_logger - INFO - 3,
2022-03-07 17:23:42,206 - movie_logger - INFO - 4,
2022-03-07 17:23:42,251 - movie_logger - INFO - 5,
2022-03-07 17:23:42,302 - movie_logger - INFO - 6,
2022-03-07 17:23:42,348 - movie_logger - INFO - 7,
2022-03-07 17:23:42,394 - movie_logger - INFO - 8,
2022-03-07 17:23:42,435 - movie_logger - INFO - 9,
2022-03-07 17:23:42,503 - movie_logger - INFO - 10,
2022-03-07 17:23:42,673 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:42,741 - movie_logger - INFO - 11,
2022-03-07 17:23:42,788 - movie_logger - INFO - 12,
2022-03-07 17:23:42,841 - movie_logger - INFO - 13,
2022-03-07 17:23:42,890 - movie_logger - INFO - 14,
2022-03-07 17:23:42,937 - movie_logger - INFO - 15,
2022-03-07 17:23:42,985 - movie_logger - INFO - 16,
2022-03-07 17:23:43,032 - movie_logger - INFO - 17,
2022-03-07 17:23:43,080 - movie_logger - INFO - 18,
2022-03-07 17:23:43,128 - movie_logger - INFO - 19,
2022-03-07 17:23:43,174 - movie_logger - INFO - 20,
2022-03-07 17:23:43,359 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:43,418 - movie_logger - INFO - 21,
2022-03-07 17:23:43,455 - movie_logger - INFO - 22,
2022-03-07 17:23:43,492 - movie_logger - INFO - 23,
2022-03-07 17:23:43,532 - movie_logger - INFO - 24,
2022-03-07 17:23:43,571 - movie_logger - INFO - 25,
2022-03-07 17:23:43,608 - movie_logger - INFO - 26,
2022-03-07 17:23:43,645 - movie_logger - INFO - 27,
2022-03-07 17:23:43,682 - movie_logger - INFO - 28,
2022-03-07 17:23:43,721 - movie_logger - INFO - 29,
2022-03-07 17:23:43,761 - movie_logger - INFO - 30,
2022-03-07 17:23:43,949 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:44,004 - movie_logger - INFO - 31,
2022-03-07 17:23:44,046 - movie_logger - INFO - 32,
2022-03-07 17:23:44,089 - movie_logger - INFO - 33,
2022-03-07 17:23:44,140 - movie_logger - INFO - 34,
2022-03-07 17:23:44,186 - movie_logger - INFO - 35,
2022-03-07 17:23:44,232 - movie_logger - INFO - 36,
2022-03-07 17:23:44,276 - movie_logger - INFO - 37,
2022-03-07 17:23:44,317 - movie_logger - INFO - 38,
2022-03-07 17:23:44,366 - movie_logger - INFO - 39,
2022-03-07 17:23:44,428 - movie_logger - INFO - 40,
2022-03-07 17:23:44,617 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:44,678 - movie_logger - INFO - 41,
2022-03-07 17:23:44,719 - movie_logger - INFO - 42,
2022-03-07 17:23:44,762 - movie_logger - INFO - 43,
2022-03-07 17:23:44,811 - movie_logger - INFO - 44,
2022-03-07 17:23:44,856 - movie_logger - INFO - 45,
2022-03-07 17:23:44,900 - movie_logger - INFO - 46,
2022-03-07 17:23:44,949 - movie_logger - INFO - 47,
2022-03-07 17:23:44,995 - movie_logger - INFO - 48,
2022-03-07 17:23:45,036 - movie_logger - INFO - 49,
2022-03-07 17:23:45,075 - movie_logger - INFO - 50,
2022-03-07 17:23:45,237 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:45,296 - movie_logger - INFO - 51,
2022-03-07 17:23:45,348 - movie_logger - INFO - 52,
2022-03-07 17:23:45,398 - movie_logger - INFO - 53,
2022-03-07 17:23:45,449 - movie_logger - INFO - 54,
2022-03-07 17:23:45,491 - movie_logger - INFO - 55,
2022-03-07 17:23:45,538 - movie_logger - INFO - 56,
2022-03-07 17:23:45,583 - movie_logger - INFO - 57,
2022-03-07 17:23:45,625 - movie_logger - INFO - 58,
2022-03-07 17:23:45,680 - movie_logger - INFO - 59,
2022-03-07 17:23:45,730 - movie_logger - INFO - 60,
2022-03-07 17:23:45,979 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:46,060 - movie_logger - INFO - 61,
2022-03-07 17:23:46,101 - movie_logger - INFO - 62,
2022-03-07 17:23:46,142 - movie_logger - INFO - 63,
2022-03-07 17:23:46,184 - movie_logger - INFO - 64,
2022-03-07 17:23:46,227 - movie_logger - INFO - 65,
2022-03-07 17:23:46,269 - movie_logger - INFO - 66,
2022-03-07 17:23:46,311 - movie_logger - INFO - 67,
2022-03-07 17:23:46,353 - movie_logger - INFO - 68,
2022-03-07 17:23:46,397 - movie_logger - INFO - 69,
2022-03-07 17:23:46,439 - movie_logger - INFO - 70,
2022-03-07 17:23:46,605 - movie_logger - INFO - 다음페이지 클릭!
2022-03-07 17:23:46,666 - movie_logger - INFO - 71,
2022-03-07 17:23:46,709 - movie_logger - INFO - 72,
2022-03-07 17:23:46,751 - movie_logger - INFO - 73,
2022-03-07 17:23:46,796 - movie_logger - INFO - 74,
2022-03-07 17:23:46,846 - movie_logger - INFO - 75,
